"dive.id","Species","Boccia.ID","Site","submersion.type","Submersion.naturally.terminated.","Mass","SVL","Sex","Rebreathing.type","Duration bp","num_all_rb bp","rb_full_rate bp","rb_full_int bp","first_rb bp","last_rb bp","rb_period bp","rate_adj_rb bp","low_rb bp","low_rb_rate bp","num_br bp","rate_br bp","num_gul bp","rate_gul bp","num_ch bp","rate_ch bp","dur_exh_tot bp","exh_pct bp","num_exh bp","exh_avg bp","soh bp","toh bp","hbn bp","lbn bp","num trials"
1,"maculigula","Boccia 235","Tatama","dunk","yes",16.8,54,"F","sustained",291.594,9,0.0474676033607063,31.66275,34.023,287.325,253.302,0.0355307103773361,0,0,1,0.00527417815118959,3,0.113692348504946,0,0,74.887,0.394967379208135,9,8.32077777777778,9,0,0,0,2
1,"uniformis","Boccia 235M","Tuxtlas","dunk","yes",1.6,36,"M","incidental",178.837,3,0.0167750521424537,8.1105,337.948,335.071,2.87699999999995,1.0427528675704,2,0.0111833680949692,1,0.00559168404748458,6,0.0335501042849075,0,0,163.615,0.914883385429189,6,27.2691666666667,2,1,0,2,1
1,"maculigula","Boccia 239","Tatama","dunk","yes",31.9,NA,"M","sustained",20.529,10,0.48711578742267,1.77144444444444,65.166,81.109,15.943,0.627234522988145,0,0,3,0.146134736226801,0,0,0,NA,6.166,0.300355594524818,10,0.6166,0,10,0,0,3
2,"barkeri","Boccia 239M","Tuxtlas","dunk","yes",8.7,78,"M","sustained",133.278,27,0.202584072390042,3.75311538461539,188.115,285.696,97.581,0.27669320871891,0,0,14,0.105043593091133,0,0,0,0,74.835,0.561495520641066,17,4.40205882352941,27,0,0,0,8
1,"chloris","Boccia 240","Tatama","dunk","yes",3.9,0,"M","no",19.102,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,1
1,"uniformis","Boccia 244M","Tuxtlas","dunk","yes",1.5,39,"M","sustained",71.197,5,0.0702276781325056,2.55425,130.817,141.034,10.217,0.489380444357444,0,0,2,0.0280910712530022,3,0.0421366068795033,0,0,16.924,0.237706644942905,6,2.82066666666667,5,0,0,0,2
2,"barkeri","Boccia 245M","Tuxtlas","dunk","yes",11.6,84,"M","sustained",162.261,20,0.123258207455889,8.76163157894737,236.739,235.154,1.58500000000001,12.6182965299684,1,0.00616291037279445,9,0.05546619335515,2,0.0123258207455889,0,0,12.5579999999999,0.0773938284615521,24,0.523249999999996,19,1,0,1,2
1,"barkeri","Boccia 246M","Tuxtlas","dunk","yes",13.1,92,"M","sustained",227.372,27,0.118748130816459,8.46696153846154,401.46,621.601,220.141,0.122648666082193,0,0,14,0.0615731048677937,3,0.0131942367573844,0,0,67.3069999999998,0.296021497809756,36,1.86963888888888,27,0,0,0,4
1,"uniformis","Boccia 247M","Tuxtlas","dunk","no",0.7,29,"M","no",34.66,0,0,NA,NA,NA,NA,NA,0,0,1,0.0288517022504328,0,0,0,0,32.343,0.933150605885747,2,16.1715,0,0,0,0,1
1,"uniformis","Boccia 249M","Tuxtlas","dunk","yes",1.6,28,"M","no",153.865,0,0,NA,NA,NA,NA,NA,0,0,0,0,1,0.00649920384752868,1,0.00649920384752868,0,0,0,NA,0,0,0,0,1
3,"barkeri","Boccia 250M","Tuxtlas","dunk","yes",7.7,73,"M","sustained",261.801,15,0.0572954266790425,16.5792857142857,251.293,483.403,232.11,0.0646245314721468,0,0,3,0.0114590853358085,5,0.0190984755596808,0,0,184.874,0.706162314124087,18,10.2707777777778,15,0,0,0,5
