boris_id,dive.id,Species,Boccia.ID,Site,submersion.type,Submersion.naturally.terminated.,Mass,SVL,Sex,Rebreathing.type
Boccia227_2,1,maculigula,Boccia 227,Tatama,dunk,no,28.8,112,M,incidental
Boccia227_2 2,2,maculigula,Boccia 227,Tatama,dunk,no,28.8,112,M,incidental
Boccia227_2 3,3,maculigula,Boccia 227,Tatama,dunk,yes,28.8,112,M,incidental
Boccia228,1,maculigula,Boccia 228,Tatama,dunk,yes,4,61,F,incidental
Boccia228_2,1,maculigula,Boccia 228,Tatama,dunk,yes,4,61,F,no
Boccia229,1,maculigula,Boccia 229,Tatama,dunk,no,7.5,72,F,incidental
Boccia229 3,3,maculigula,Boccia 229,Tatama,dunk,no,7.5,72,F,incidental
Boccia229 4,4,maculigula,Boccia 229,Tatama,dunk,yes,7.5,72,F,incidental
Boccia229 hide + dunk 2,1,maculigula,Boccia 229,Tatama,dunk,no,7.5,72,F,no
Boccia229 hide+ dunk,1,maculigula,Boccia 229,Tatama,dunk,no,7.5,72,F,incidental
Boccia230,1,maculigula,Boccia 230,Tatama,dunk,yes,2.2,50,J,sustained
Boccia230 hide + dunk,1,maculigula,Boccia 230,Tatama,dunk,yes,2.2,50,J,sustained
Boccia230_2,1,maculigula,Boccia 230,Tatama,dunk,yes,2.2,50,J,incidental
Boccia230-2,1,maculigula,Boccia 230,Tatama,dunk,no,2.2,50,J,incidental
Boccia231,1,maculigula,Boccia 231,Tatama,dunk,yes,14.2,86,F,incidental
Boccia231 2,2,maculigula,Boccia 231,Tatama,dunk,yes,14.2,86,F,incidental
Boccia231 hide + dunk,1,maculigula,Boccia 231,Tatama,dunk,yes,14.2,86,F,incidental
Boccia233,1,maculigula,Boccia 233,Tatama,dunk,yes,1,39,J,no
Boccia233_2,1,maculigula,Boccia 233,Tatama,dunk,yes,1,39,J,incidental
Boccia233_2 2,2,maculigula,Boccia 233,Tatama,dunk,yes,1,39,J,no
Boccia234,1,maculigula,Boccia 234,Tatama,dunk,no,14.4,85,F,sustained
Boccia234 dunk,1,maculigula,Boccia 234,Tatama,dunk,yes,14.4,85,F,no
Boccia234M,1,barkeri,Boccia 234M,Tuxtlas,dunk,yes,1.4,45,J,sustained
Boccia234M 2,1,barkeri,Boccia 234M,Tuxtlas,dunk,yes,1.4,45,J,no
Boccia234M_2 2,2,barkeri,Boccia 234M,Tuxtlas,dunk,yes,1.4,45,J,no
Boccia234natural dive,1,maculigula,Boccia 234,Tatama,voluntary,no,14.4,85,F,no
Boccia235,1,maculigula,Boccia 235,Tatama,dunk,yes,16.8,54,F,sustained
Boccia235 hide + dunk,1,maculigula,Boccia 235,Tatama,dunk,no,16.8,54,F,sustained
Boccia235M,1,uniformis,Boccia 235M,Tuxtlas,dunk,yes,1.6,36,M,incidental
Boccia236M,1,barkeri,Boccia 236M,Tuxtlas,dunk,yes,0.5,30,J,no
Boccia236M 2,2,barkeri,Boccia 236M,Tuxtlas,dunk,no,0.5,30,J,no
Boccia237M,1,uniformis,Boccia 237M,Tuxtlas,dunk,yes,0.5,26,J,no
Boccia238M,1,barkeri,Boccia 238M,Tuxtlas,dunk,yes,1.4,39,J,incidental
Boccia238M 2,2,barkeri,Boccia 238M,Tuxtlas,dunk,yes,1.4,39,J,no
Boccia238M 3,3,barkeri,Boccia 238M,Tuxtlas,dunk,yes,1.4,39,J,sustained
Boccia238M 4,4,barkeri,Boccia 238M,Tuxtlas,dunk,yes,1.4,39,J,no
Boccia238M_2,1,barkeri,Boccia 238M,Tuxtlas,dunk,yes,1.4,39,J,sustained
Boccia238M_2 2,2,barkeri,Boccia 238M,Tuxtlas,dunk,yes,1.4,39,J,incidental
Boccia238M_2 3,3,barkeri,Boccia 238M,Tuxtlas,dunk,yes,1.4,39,J,incidental
Boccia239 dunk,1,maculigula,Boccia 239,Tatama,dunk,yes,31.9,NA,M,sustained
Boccia239 hide + dunk,1,maculigula,Boccia 239,Tatama,dunk,yes,31.9,NA,M,no
Boccia239 hide + dunk 2,2,maculigula,Boccia 239,Tatama,dunk,no,31.9,NA,M,incidental
Boccia239M,1,barkeri,Boccia 239M,Tuxtlas,dunk,yes,8.7,78,M,sustained
Boccia239M 2,2,barkeri,Boccia 239M,Tuxtlas,dunk,yes,8.7,78,M,no
Boccia239M 3,3,barkeri,Boccia 239M,Tuxtlas,dunk,yes,8.7,78,M,sustained
Boccia239M_2,1,barkeri,Boccia 239M,Tuxtlas,dunk,yes,8.7,78,M,sustained
Boccia239M_3,1,barkeri,Boccia 239M,Tuxtlas,dunk,yes,8.7,78,M,incidental
Boccia239M_3 2,2,barkeri,Boccia 239M,Tuxtlas,dunk,yes,8.7,78,M,sustained
Boccia239M_4,1,barkeri,Boccia 239M,Tuxtlas,dunk,yes,8.7,78,M,incidental
Boccia239M_4 2,2,barkeri,Boccia 239M,Tuxtlas,dunk,yes,8.7,78,M,sustained
Boccia240 dunk,1,chloris,Boccia 240,Tatama,dunk,yes,3.9,0,M,no
Boccia240M,1,barkeri,Boccia 240M,Tuxtlas,dunk,no,0.7,31,J,no
Boccia241,1,purpurescens,Boccia 241,Tatama,dunk,yes,1.3,0,J,incidental
Boccia241 retest,1,purpurescens,Boccia 241,Tatama,dunk,yes,1.3,0,J,no
Boccia241 retest 2,2,purpurescens,Boccia 241,Tatama,dunk,yes,1.3,0,J,no
Boccia241 retest 3,3,purpurescens,Boccia 241,Tatama,dunk,yes,1.3,0,J,no
Boccia242M,1,iguana,Boccia 242M,Tuxtlas,dunk,yes,14.4,76,J,no
Boccia243M,1,barkeri,Boccia 243M,Tuxtlas,dunk,yes,1,39,J,no
Boccia244M,1,uniformis,Boccia 244M,Tuxtlas,dunk,yes,1.5,39,M,sustained
Boccia244M 2,2,uniformis,Boccia 244M,Tuxtlas,dunk,yes,1.5,39,M,no
Boccia245M,1,barkeri,Boccia 245M,Tuxtlas,dunk,yes,11.6,84,M,sustained
Boccia245M 2,2,barkeri,Boccia 245M,Tuxtlas,dunk,yes,11.6,84,M,sustained
Boccia246M dunk,1,barkeri,Boccia 246M,Tuxtlas,dunk,yes,13.1,92,M,sustained
Boccia246M_2,1,barkeri,Boccia 246M,Tuxtlas,dunk,no,13.1,92,M,no
Boccia246M_3,1,barkeri,Boccia 246M,Tuxtlas,dunk,yes,13.1,92,M,incidental
Boccia246M_3 2,2,barkeri,Boccia 246M,Tuxtlas,dunk,yes,13.1,92,M,sustained
Boccia247M,1,uniformis,Boccia 247M,Tuxtlas,dunk,no,0.7,29,M,no
Boccia248M,1,basiliscus,Boccia 248M,Tuxtlas,dunk,yes,4.4,56,J,no
Boccia249M,1,uniformis,Boccia 249M,Tuxtlas,dunk,yes,1.6,28,M,no
Boccia250M,1,barkeri,Boccia 250M,Tuxtlas,dunk,yes,7.7,73,M,incidental
Boccia250M 2,2,barkeri,Boccia 250M,Tuxtlas,dunk,no,7.7,73,M,sustained
Boccia250M_2,1,barkeri,Boccia 250M,Tuxtlas,dunk,yes,7.7,73,M,sustained
Boccia250M_2 2,2,barkeri,Boccia 250M,Tuxtlas,dunk,yes,7.7,73,M,no
Boccia250M_2 3,3,barkeri,Boccia 250M,Tuxtlas,dunk,yes,7.7,73,M,sustained
Boccia251M,1,barkeri,Boccia 251M,Tuxtlas,dunk,yes,1.4,44,J,no
Boccia252M,1,uniformis,Boccia 252M,Tuxtlas,dunk,yes,1.1,34,M,no
Boccia252M 2,2,uniformis,Boccia 252M,Tuxtlas,dunk,yes,1.1,34,M,no
Boccia253M,1,barkeri,Boccia 253M,Tuxtlas,dunk,yes,9.3,74,F,no
Boccia253M 2,2,barkeri,Boccia 253M,Tuxtlas,dunk,yes,9.3,74,F,incidental
Boccia253M_2,1,barkeri,Boccia 253M,Tuxtlas,dunk,yes,9.3,74,F,incidental
Boccia253M_2 2,2,barkeri,Boccia 253M,Tuxtlas,dunk,yes,9.3,74,F,no
Boccia253M_2 3,3,barkeri,Boccia 253M,Tuxtlas,dunk,yes,9.3,74,F,sustained
Boccia253M_3,1,barkeri,Boccia 253M,Tuxtlas,dunk,yes,9.3,74,F,incidental
Boccia253M_3 2,2,barkeri,Boccia 253M,Tuxtlas,dunk,yes,9.3,74,F,sustained
Boccia253M_4,1,barkeri,Boccia 253M,Tuxtlas,dunk,yes,9.3,74,F,no
Boccia254M,1,barkeri,Boccia 254M,Tuxtlas,dunk,yes,2.8,49,J,no
Boccia254M 2,2,barkeri,Boccia 254M,Tuxtlas,dunk,yes,2.8,49,J,incidental
Boccia254M_2,1,barkeri,Boccia 254M,Tuxtlas,dunk,yes,2.8,49,J,incidental
Boccia254M_2 2,2,barkeri,Boccia 254M,Tuxtlas,dunk,yes,2.8,49,J,no
Boccia254M_3,1,barkeri,Boccia 254M,Tuxtlas,dunk,yes,2.8,49,J,sustained
