boris_id,dive.id,Species,Boccia.ID,Site,submersion.type,Submersion.naturally.terminated.,Mass,SVL,Sex,Rebreathing.type
Boccia258 dunk,1,antonii,Boccia 258,Tatama,dunk,yes,1.6,45,M,no
Boccia258M dunk,1,barkeri,Boccia 258M,Tuxtlas,dunk,yes,5.2,63,F,no
Boccia258M dunk 2,2,barkeri,Boccia 258M,Tuxtlas,dunk,yes,5.2,63,F,incidental
Boccia258M dunk 3,3,barkeri,Boccia 258M,Tuxtlas,dunk,yes,5.2,63,F,no
Boccia258M_2,1,barkeri,Boccia 258M,Tuxtlas,dunk,yes,5.2,63,F,no
Boccia258M_2 2,2,barkeri,Boccia 258M,Tuxtlas,dunk,yes,5.2,63,F,no
Boccia258M_4,1,barkeri,Boccia 258M,Tuxtlas,dunk,yes,5.2,63,F,no
Boccia259,1,ventrimaculatus,Boccia 259,Tatama,dunk,no,7.3,72,M,no
Boccia259M,1,barkeri,Boccia 259M,Tuxtlas,dunk,yes,13.9,90,M,incidental
Boccia259M 2,2,barkeri,Boccia 259M,Tuxtlas,dunk,yes,13.9,90,M,incidental
Boccia259M 3,3,barkeri,Boccia 259M,Tuxtlas,dunk,yes,13.9,90,M,no
Boccia259M_2,1,barkeri,Boccia 259M,Tuxtlas,dunk,yes,13.9,90,M,sustained
Boccia259M_2 2,2,barkeri,Boccia 259M,Tuxtlas,dunk,yes,13.9,90,M,incidental
Boccia259M_2 3,3,barkeri,Boccia 259M,Tuxtlas,dunk,yes,13.9,90,M,sustained
Boccia259M_3,1,barkeri,Boccia 259M,Tuxtlas,dunk,yes,13.9,90,M,sustained
Boccia259M_3 2,2,barkeri,Boccia 259M,Tuxtlas,dunk,yes,13.9,90,M,sustained
Boccia259M_4,1,barkeri,Boccia 259M,Tuxtlas,dunk,yes,13.9,90,M,sustained
Boccia259M_4 2,2,barkeri,Boccia 259M,Tuxtlas,dunk,yes,13.9,90,M,incidental
Boccia259M_4 3,3,barkeri,Boccia 259M,Tuxtlas,dunk,yes,13.9,90,M,incidental
Boccia259M_4 4,4,barkeri,Boccia 259M,Tuxtlas,dunk,no,13.9,90,M,no
Boccia260M,1,barkeri,Boccia 260M,Tuxtlas,dunk,yes,6.9,68,F,no
Boccia260M_2,1,barkeri,Boccia 260M,Tuxtlas,dunk,yes,6.9,68,F,no
Boccia260M_2 (2),1,barkeri,Boccia 260M,Tuxtlas,dunk,yes,6.9,68,F,incidental
Boccia260M_2 (2) 2,2,barkeri,Boccia 260M,Tuxtlas,dunk,yes,6.9,68,F,no
Boccia260M_2 2,2,barkeri,Boccia 260M,Tuxtlas,dunk,yes,6.9,68,F,sustained
Boccia260M_3,1,barkeri,Boccia 260M,Tuxtlas,dunk,yes,6.9,68,F,no
Boccia260M_3 2,2,barkeri,Boccia 260M,Tuxtlas,dunk,yes,6.9,68,F,no
Boccia261 hide + dunk,1,maculigula,Boccia 261,Tatama,dunk,yes,12.7,80,F,incidental
Boccia261M,1,barkeri,Boccia 261M,Tuxtlas,dunk,no,6.9,68,F,sustained
Boccia261M_1,1,barkeri,Boccia 261M,Tuxtlas,dunk,yes,6.9,68,F,sustained
Boccia261M_1 2,2,barkeri,Boccia 261M,Tuxtlas,dunk,yes,6.9,68,F,sustained
Boccia261M_2,1,barkeri,Boccia 261M,Tuxtlas,dunk,yes,6.9,68,F,incidental
Boccia261M_2 2,2,barkeri,Boccia 261M,Tuxtlas,dunk,yes,6.9,68,F,sustained
Boccia261M_2 3,3,barkeri,Boccia 261M,Tuxtlas,dunk,no,6.9,68,F,no
Boccia261M_3,1,barkeri,Boccia 261M,Tuxtlas,dunk,yes,6.9,68,F,sustained
Boccia261M_3 2,2,barkeri,Boccia 261M,Tuxtlas,dunk,yes,6.9,68,F,sustained
Boccia262 hide + dunk,1,maculigula,Boccia 262,Tatama,dunk,no,37.7,118,M,incidental
Boccia262 natural dive,1,maculigula,Boccia 262,Tatama,dunk,yes,37.7,118,M,no
Boccia262M,1,barkeri,Boccia 262M,Tuxtlas,dunk,yes,7.1,72,M,incidental
Boccia262M 2,2,barkeri,Boccia 262M,Tuxtlas,dunk,yes,7.1,72,M,sustained
Boccia262M 3,3,barkeri,Boccia 262M,Tuxtlas,dunk,yes,7.1,72,M,no
Boccia262M_2,1,barkeri,Boccia 262M,Tuxtlas,dunk,yes,7.1,72,M,sustained
Boccia262M_2 2,2,barkeri,Boccia 262M,Tuxtlas,dunk,yes,7.1,72,M,sustained
Boccia263M,1,barkeri,Boccia 263M,Tuxtlas,dunk,yes,6.9,75,M,incidental
Boccia263M 2,2,barkeri,Boccia 263M,Tuxtlas,dunk,yes,6.9,75,M,sustained
Boccia263M 3,3,barkeri,Boccia 263M,Tuxtlas,dunk,yes,6.9,75,M,incidental
Boccia264 hide + dunk,1,maculigula,Boccia 264,Tatama,dunk,yes,8.1,69,F,sustained
Boccia264M,1,sericeus,Boccia 264M,Tuxtlas,dunk,yes,1.1,42,M,no
Boccia265 hide + dunk,1,maculigula,Boccia 265,Tatama,dunk,yes,28.9,113,M,no
Boccia265 hide + dunk 2,2,maculigula,Boccia 265,Tatama,dunk,yes,28.9,113,M,incidental
Boccia265M,1,sericeus,Boccia 265M,Tuxtlas,dunk,yes,0.8,37,M,no
Boccia265M_2,1,sericeus,Boccia 265M,Tuxtlas,dunk,yes,0.8,37,M,no
Boccia266 hide + dunk,1,maculigula,Boccia 266,Tatama,dunk,yes,1.1,38,J,incidental
Boccia266 hide + dunk 2,2,maculigula,Boccia 266,Tatama,dunk,yes,1.1,38,J,incidental
Boccia266M,1,barkeri,Boccia 266M,Tuxtlas,dunk,yes,7.6,70,F,sustained
Boccia266M 2,2,barkeri,Boccia 266M,Tuxtlas,dunk,yes,7.6,70,F,incidental
Boccia266M 3,3,barkeri,Boccia 266M,Tuxtlas,dunk,yes,7.6,70,F,incidental
Boccia266M_3,1,barkeri,Boccia 266M,Tuxtlas,dunk,yes,7.6,70,F,no
Boccia266M_3 2,2,barkeri,Boccia 266M,Tuxtlas,dunk,yes,7.6,70,F,no
Boccia267 hide + dunk,1,maculigula,Boccia 267,Tatama,dunk,yes,1.1,40,J,no
Boccia267 hide + dunk 2,2,maculigula,Boccia 267,Tatama,dunk,yes,1.1,40,J,incidental
Boccia267M_2,1,barkeri,Boccia 267M,Tuxtlas,dunk,yes,15.6,92,M,sustained
Boccia267M_2 2,2,barkeri,Boccia 267M,Tuxtlas,dunk,no,15.6,92,M,incidental
Boccia267M_3,1,barkeri,Boccia 267M,Tuxtlas,dunk,yes,15.6,92,M,incidental
Boccia268 dunk,1,maculigula,Boccia 268,Tatama,dunk,no,13,87,F,sustained
Boccia268 hide + dunk,1,maculigula,Boccia 268,Tatama,dunk,no,13,87,F,sustained
Boccia268M,1,barkeri,Boccia 268M,Tuxtlas,dunk,yes,17,99,M,sustained
Boccia268M 2,2,barkeri,Boccia 268M,Tuxtlas,dunk,yes,17,99,M,sustained
Boccia268M 3,3,barkeri,Boccia 268M,Tuxtlas,dunk,yes,17,99,M,sustained
Boccia268M_3,1,barkeri,Boccia 268M,Tuxtlas,dunk,yes,17,99,M,incidental
Boccia268M_3 2,2,barkeri,Boccia 268M,Tuxtlas,dunk,yes,17,99,M,no
Boccia268M_3 3,3,barkeri,Boccia 268M,Tuxtlas,dunk,yes,17,99,M,sustained
Boccia269 hide + dunk,1,maculigula,Boccia 269,Tatama,dunk,yes,1.6,45,J,sustained
Boccia269 hide + dunk 2,2,maculigula,Boccia 269,Tatama,dunk,yes,1.6,45,J,incidental
Boccia269M,1,barkeri,Boccia 269M,Tuxtlas,dunk,yes,7.4,70,F,incidental
Boccia269M 2,2,barkeri,Boccia 269M,Tuxtlas,dunk,yes,7.4,70,F,no
Boccia269M 3,3,barkeri,Boccia 269M,Tuxtlas,dunk,yes,7.4,70,F,incidental
Boccia269M_3,1,barkeri,Boccia 269M,Tuxtlas,dunk,yes,7.4,70,F,incidental
Boccia269M_3 2,2,barkeri,Boccia 269M,Tuxtlas,dunk,yes,7.4,70,F,no
Boccia270,1,maculigula,Boccia 270,Tatama,dunk,yes,3,91,J,sustained
Boccia270M,1,barkeri,Boccia 270M,Tuxtlas,dunk,yes,6.3,69,F,sustained
Boccia270M 2,2,barkeri,Boccia 270M,Tuxtlas,dunk,yes,6.3,69,F,no
Boccia270M_2,1,barkeri,Boccia 270M,Tuxtlas,dunk,no,6.3,69,F,incidental
Boccia270M_2 2,2,barkeri,Boccia 270M,Tuxtlas,dunk,yes,6.3,69,F,sustained
Boccia271 hide + dive,1,maculigula,Boccia 271,Tatama,dunk,yes,5.4,63,F,incidental
Boccia271M_2,1,barkeri,Boccia 271M,Tuxtlas,dunk,yes,16.3,94,M,sustained
Boccia271M_2 (2),1,barkeri,Boccia 271M,Tuxtlas,dunk,no,16.3,94,M,sustained
Boccia271M_2 2,2,barkeri,Boccia 271M,Tuxtlas,dunk,yes,16.3,94,M,sustained
Boccia271M_2 3,3,barkeri,Boccia 271M,Tuxtlas,dunk,yes,16.3,94,M,sustained
Boccia271M_3,1,barkeri,Boccia 271M,Tuxtlas,dunk,yes,16.3,94,M,sustained
Boccia272 dunk,1,maculigula,Boccia 272,Tatama,dunk,yes,10.3,84,J,sustained
Boccia272 hide + vdunk 2,2,maculigula,Boccia 272,Tatama,voluntary,yes,10.3,84,J,sustained
Boccia272 hide+vdunk,1,maculigula,Boccia 272,Tatama,hide,yes,10.3,84,J,sustained
Boccia272M dunk,1,barkeri,Boccia 272M,Tuxtlas,dunk,yes,13.8,88,M,sustained
Boccia272M_3,1,barkeri,Boccia 272M,Tuxtlas,dunk,yes,13.8,88,M,sustained
Boccia273 dunk,1,maculigula,Boccia 273,Tatama,dunk,n/a,39.2,117,M,no
Boccia273 hide,1,maculigula,Boccia 273,Tatama,voluntary,yes,39.2,117,M,no
Boccia273M dunk,1,barkeri,Boccia 273M,Tuxtlas,dunk,yes,15.2,102,M,sustained
Boccia273M_3,1,barkeri,Boccia 273M,Tuxtlas,dunk,yes,15.2,102,M,incidental
Boccia273M_3 2,2,barkeri,Boccia 273M,Tuxtlas,dunk,yes,15.2,102,M,sustained
Boccia274,1,maculigula,Boccia 274,Tatama,hide,yes,16.8,87,F,no
Boccia274 2,1,maculigula,Boccia 274,Tatama,dunk,yes,16.8,87,F,sustained
Boccia274M,1,barkeri,Boccia 274M,Tuxtlas,dunk,yes,15,90,M,incidental
Boccia274M 2,2,barkeri,Boccia 274M,Tuxtlas,dunk,yes,15,90,M,no
Boccia274M_2,1,barkeri,Boccia 274M,Tuxtlas,dunk,yes,15,90,M,incidental
Boccia274M_2 2,2,barkeri,Boccia 274M,Tuxtlas,dunk,yes,15,90,M,incidental
Boccia274M_3,1,barkeri,Boccia 274M,Tuxtlas,dunk,yes,15,90,M,incidental
Boccia274M_3 2,2,barkeri,Boccia 274M,Tuxtlas,dunk,yes,15,90,M,no
Boccia275,1,maculigula,Boccia 275,Tatama,dunk,yes,9.2,85,F,sustained
Boccia275M,1,sericeus,Boccia 275M,Tuxtlas,dunk,yes,0.3,30,J,no
Boccia276,1,maculigula,Boccia 276,Tatama,dunk,yes,7,69,F,sustained
Boccia276M,1,uniformis,Boccia 276M,Tuxtlas,dunk,yes,2,40,F,no
Boccia276M 2,2,uniformis,Boccia 276M,Tuxtlas,dunk,yes,2,40,F,incidental
Boccia277,1,maculigula,Boccia 277,Tatama,dunk,yes,14.7,83,F,incidental
Boccia277M,1,uniformis,Boccia 277M,Tuxtlas,dunk,yes,1.7,40,F,no
Boccia277M 2,2,uniformis,Boccia 277M,Tuxtlas,dunk,yes,1.7,40,F,no
Boccia278 dunk,1,maculigula,Boccia 278,Tatama,dunk,yes,8.6,71,J,incidental
Boccia278 dunk 2,2,maculigula,Boccia 278,Tatama,dunk,yes,8.6,71,J,no
Boccia278M,1,barkeri,Boccia 278M,Tuxtlas,dunk,yes,1.4,37,J,no
Boccia278M 2,2,barkeri,Boccia 278M,Tuxtlas,dunk,yes,1.4,37,J,sustained
Boccia279,1,princeps,Boccia 279,Tatama,dunk,yes,42.7,141,M,no
Boccia279 2,2,princeps,Boccia 279,Tatama,dunk,yes,42.7,141,M,incidental
Boccia279M dunk,1,sericeus,Boccia 279M,Tuxtlas,dunk,yes,2,46,F,no
Boccia280M,1,barkeri,Boccia 280M,Tuxtlas,dunk,yes,15,95,M,sustained
Boccia280M_2,1,barkeri,Boccia 280M,Tuxtlas,dunk,yes,15,95,M,sustained
Boccia280M_3,1,barkeri,Boccia 280M,Tuxtlas,dunk,yes,15,95,M,incidental
Boccia280M_3 2,1,barkeri,Boccia 280M,Tuxtlas,dunk,yes,15,95,M,sustained
Boccia281M,1,barkeri,Boccia 281M,Tuxtlas,dunk,yes,6.8,70,F,sustained
Boccia281M_2,1,barkeri,Boccia 281M,Tuxtlas,dunk,yes,6.8,70,F,no
Boccia281M_2 2,2,barkeri,Boccia 281M,Tuxtlas,dunk,yes,6.8,70,F,incidental
Boccia281M_2 3,3,barkeri,Boccia 281M,Tuxtlas,dunk,no,6.8,70,F,sustained
Boccia281M_3,1,barkeri,Boccia 281M,Tuxtlas,dunk,yes,6.8,70,F,incidental
Boccia282M,1,barkeri,Boccia 282M,Tuxtlas,dunk,no,17.2,96,M,incidental
Boccia282M 2,2,barkeri,Boccia 282M,Tuxtlas,dunk,yes,17.2,96,M,incidental
Boccia282M_2,1,barkeri,Boccia 282M,Tuxtlas,dunk,yes,17.2,96,M,incidental
Boccia282M_2 2,2,barkeri,Boccia 282M,Tuxtlas,dunk,yes,17.2,96,M,incidental
Boccia282M_2 3,3,barkeri,Boccia 282M,Tuxtlas,dunk,yes,17.2,96,M,no
Boccia282M_2 4,4,barkeri,Boccia 282M,Tuxtlas,dunk,yes,17.2,96,M,incidental
Boccia282M_2 5,5,barkeri,Boccia 282M,Tuxtlas,dunk,no,17.2,96,M,incidental
Boccia282M_3,1,barkeri,Boccia 282M,Tuxtlas,dunk,yes,17.2,96,M,no
Boccia282M_3 2,1,barkeri,Boccia 282M,Tuxtlas,dunk,yes,17.2,96,M,sustained
Boccia282M_3 3,1,barkeri,Boccia 282M,Tuxtlas,dunk,yes,17.2,96,M,incidental
Boccia283,1,antonii,Boccia 283,Tatama,dunk,yes,1.9,45,F,no
Boccia283M,1,barkeri,Boccia 283M,Tuxtlas,dunk,yes,6.6,71,F,incidental
Boccia283M 2,2,barkeri,Boccia 283M,Tuxtlas,dunk,yes,6.6,71,F,no
Boccia283M_2,1,barkeri,Boccia 283M,Tuxtlas,dunk,yes,6.6,71,F,no
Boccia283M_2 2,2,barkeri,Boccia 283M,Tuxtlas,dunk,yes,6.6,71,F,incidental
Boccia283M_2 3,3,barkeri,Boccia 283M,Tuxtlas,dunk,yes,6.6,71,F,no
Boccia283M_3,1,barkeri,Boccia 283M,Tuxtlas,dunk,yes,6.6,71,F,no
Boccia284,1,antonii,Boccia 284,Tatama,dunk,yes,1.9,45,F,no
Boccia284M,1,barkeri,Boccia 284M,Tuxtlas,dunk,yes,1.9,46,J,no
Boccia284M 2,2,barkeri,Boccia 284M,Tuxtlas,dunk,yes,1.9,46,J,no
Boccia284M_2,1,barkeri,Boccia 284M,Tuxtlas,dunk,yes,1.9,46,J,incidental
Boccia284M_2 2,2,barkeri,Boccia 284M,Tuxtlas,dunk,yes,1.9,46,J,incidental
Boccia284M_3,1,barkeri,Boccia 284M,Tuxtlas,dunk,yes,1.9,46,J,no
Boccia284M_3 2,2,barkeri,Boccia 284M,Tuxtlas,dunk,yes,1.9,46,J,incidental
Boccia285,1,antonii,Boccia 285,Tatama,dunk,no,1.9,42,F,no
Boccia285M,1,uniformis,Boccia 285M,Tuxtlas,dunk,yes,1.6,39,M,no
Boccia285M 2,2,uniformis,Boccia 285M,Tuxtlas,dunk,yes,1.6,39,M,no
Boccia286,1,antonii,Boccia 286,Tatama,dunk,no,1.4,42,F,no
Boccia286M,1,uniformis,Boccia 286M,Tuxtlas,dunk,yes,1.2,33,F,no
Boccia287,1,antonii,Boccia 287,Tatama,dunk,no,1.9,46,F,no
Boccia287M,1,uniformis,Boccia 287M,Tuxtlas,dunk,yes,1.6,36,F,no
Boccia287M 2,2,uniformis,Boccia 287M,Tuxtlas,dunk,yes,1.6,36,F,no
Boccia289M,1,uniformis,Boccia 289M,Tuxtlas,dunk,yes,1.5,40,F,incidental
Boccia289M 2,2,uniformis,Boccia 289M,Tuxtlas,dunk,yes,1.5,40,F,no
Boccia290M,1,rodriguezii,Boccia 290M,Tuxtlas,dunk,yes,1.1,39,F,no
Boccia291M,1,uniformis,Boccia 291M,Tuxtlas,dunk,yes,2.4,40,F,no
Boccia292,1,antonii,Boccia 292,Tatama,dunk,yes,1.1,45,M,no
Boccia293 (2),1,antonii,Boccia 293,Tatama,dunk,yes,1.7,46,M,no
Boccia293M,1,uniformis,Boccia 293M,Tuxtlas,dunk,yes,0.6,28,J,no
Boccia294,1,chloris,Boccia 294,Tatama,voluntary,no,2.9,55,F,no
Boccia295,1,chloris,Boccia 295,Tatama,dunk,yes,3.6,60,F,no
Boccia295M_2,1,duellmani,Boccia 295M,Tuxtlas,dunk,yes,1.3,36,F,incidental
Boccia295M_2 2,2,duellmani,Boccia 295M,Tuxtlas,dunk,no,1.3,36,F,no
Boccia296,1,antonii,Boccia 296,Tatama,dunk,yes,1.4,41,J,no
Boccia296M,1,duellmani,Boccia 296M,Tuxtlas,dunk,no,1.1,41,M,no
Boccia297,1,chloris,Boccia 297,Tatama,dunk,yes,1.1,39,F,no
Boccia297M,1,sericeus,Boccia 297M,Tuxtlas,dunk,yes,2,45,F,no
Boccia298,1,chloris,Boccia 298,Tatama,dunk,yes,1.6,58,F,no
Boccia298M,1,sericeus,Boccia 298M,Tuxtlas,dunk,yes,2,43,F,no
Boccia298M 2,2,sericeus,Boccia 298M,Tuxtlas,dunk,yes,2,43,F,no
Boccia299,1,chloris,Boccia 299,Tatama,dunk,yes,3.7,62,M,no
Boccia299 2,2,chloris,Boccia 299,Tatama,dunk,yes,3.7,62,M,no
Boccia299M,1,iguana,Boccia 299M,Tuxtlas,dunk,yes,12.3,72,J,no
Boccia300,1,danieli,Boccia 300,Tatama,dunk,yes,29.2,110,F,sustained
Boccia300 2,2,danieli,Boccia 300,Tatama,dunk,yes,29.2,110,F,no
Boccia301,1,antonii,Boccia 301,Tatama,dunk,yes,1.2,45,M,no
Boccia301 2,2,antonii,Boccia 301,Tatama,dunk,yes,1.2,45,M,no
Boccia301M,1,uniformis,Boccia 301M,Tuxtlas,dunk,yes,1.6,36,F,no
Boccia301M 2,2,uniformis,Boccia 301M,Tuxtlas,dunk,yes,1.6,36,F,no
Boccia302,1,antonii,Boccia 302,Tatama,dunk,yes,1.8,45,F,no
Boccia302M,1,uniformis,Boccia 302M,Tuxtlas,dunk,yes,1.1,22,M,no
Boccia303,1,antonii,Boccia 303,Tatama,dunk,yes,1.7,46,F,no
Boccia303 2,2,antonii,Boccia 303,Tatama,dunk,yes,1.7,46,F,no
Boccia303M,1,uniformis,Boccia 303M,Tuxtlas,dunk,yes,1.9,38,F,no
Boccia304,1,chloris,Boccia 304,Tatama,dunk,yes,2.8,58,F,no
Boccia304M,1,uniformis,Boccia 304M,Tuxtlas,dunk,yes,1.5,38,M,no
Boccia305M,1,uniformis,Boccia 305M,Tuxtlas,dunk,yes,1.5,37,F,incidental
Boccia306,1,chloris,Boccia 306,Tatama,dunk,yes,2.9,55,F,no
Boccia306 2,2,chloris,Boccia 306,Tatama,dunk,yes,2.9,55,F,no
Boccia306M,1,uniformis,Boccia 306M,Tuxtlas,dunk,yes,1.6,37,F,no
Boccia307,1,chloris,Boccia 307,Tatama,dunk,yes,3.7,61,M,no
Boccia307M,1,uniformis,Boccia 307M,Tuxtlas,dunk,yes,1.4,37,M,no
Boccia308,1,chloris,Boccia 308,Tatama,dunk,yes,2.1,51,F,no
Boccia308 2,2,chloris,Boccia 308,Tatama,dunk,yes,2.1,51,F,no
Boccia308M,1,sericeus,Boccia 308M,Tuxtlas,dunk,no,2.4,46,F,no
Boccia309,1,chloris,Boccia 309,Tatama,dunk,yes,2.4,50,F,no
Boccia309 2,2,chloris,Boccia 309,Tatama,dunk,yes,2.4,50,F,no
Boccia309M,1,sericeus,Boccia 309M,Tuxtlas,dunk,yes,1,41,M,incidental
Boccia310,1,danieli,Boccia 310,Tatama,dunk,yes,26.1,111,M,incidental
Boccia310 2,2,danieli,Boccia 310,Tatama,dunk,no,26.1,111,M,no
Boccia310M,1,basiliscus,Boccia 310M,Tuxtlas,dunk,yes,1.6,40,J,no
Boccia311,1,megalopithecus,Boccia 311,Tatama,dunk,yes,11.9,91,M,no
Boccia311 2,2,megalopithecus,Boccia 311,Tatama,dunk,no,11.9,91,M,no
Boccia311M,1,basiliscus,Boccia 311M,Tuxtlas,dunk,yes,1.9,41,J,incidental
Boccia311M 2,2,basiliscus,Boccia 311M,Tuxtlas,dunk,yes,1.9,41,J,no
Boccia312,1,ventrimaculatus,Boccia 312,Tatama,dunk,yes,6.3,73,M,no
Boccia312M,1,basiliscus,Boccia 312M,Tuxtlas,dunk,yes,2.1,42,J,incidental
Boccia313,1,ventrimaculatus,Boccia 313,Tatama,dunk,yes,5.4,68,F,no
Boccia313 2,2,ventrimaculatus,Boccia 313,Tatama,dunk,yes,5.4,68,F,incidental
Boccia313M,1,basiliscus,Boccia 313M,Tuxtlas,dunk,yes,1.6,39,J,no
Boccia313M 2,2,basiliscus,Boccia 313M,Tuxtlas,dunk,yes,1.6,39,J,no
Boccia314,1,danieli,Boccia 314,Tatama,dunk,yes,29.5,119,M,no
Boccia314M,1,sericeus,Boccia 314M,Tuxtlas,dunk,yes,2.3,47,F,no
Boccia315,1,antioquiae,Boccia 315,Tatama,voluntary,yes,9.5,76,M,no
Boccia315 2,2,antioquiae,Boccia 315,Tatama,dunk,yes,9.5,76,M,no
Boccia316,1,antonii,Boccia 316,Tatama,dunk,yes,1.3,42,M,no
Boccia316M,1,uniformis,Boccia 316M,Tuxtlas,dunk,yes,1.6,35,F,no
Boccia317,1,ventrimaculatus,Boccia 317,Tatama,dunk,yes,7,74,M,no
Boccia317M,1,uniformis,Boccia 317M,Tuxtlas,dunk,yes,1.7,37,M,no
Boccia318,1,chloris,Boccia 318,Tatama,dunk,no,3.5,60,F,no
Boccia318 2,2,chloris,Boccia 318,Tatama,dunk,yes,3.5,60,F,no
Boccia318M,1,sericeus,Boccia 318M,Tuxtlas,dunk,yes,1.1,40,M,no
Boccia319,1,chloris,Boccia 319,Tatama,dunk,no,2.2,49,M,sustained
Boccia319 2,2,chloris,Boccia 319,Tatama,dunk,yes,2.2,49,M,no
Boccia319M,1,sericeus,Boccia 319M,Tuxtlas,dunk,yes,1.9,44,F,no
Boccia320,1,chloris,Boccia 320,Tatama,dunk,yes,3.2,56,M,no
Boccia320 2,2,chloris,Boccia 320,Tatama,dunk,yes,3.2,56,M,no
Boccia320M,1,iguana,Boccia 320M,Tuxtlas,dunk,yes,18.5,77,J,no
Boccia320M 2,1,iguana,Boccia 320M,Tuxtlas,dunk,yes,18.5,77,J,no
Boccia321,1,chloris,Boccia 321,Tatama,dunk,yes,4.2,65,M,no
Boccia321 2,2,chloris,Boccia 321,Tatama,dunk,yes,4.2,65,M,no
Boccia321M,1,sericeus,Boccia 321M,Tuxtlas,dunk,no,0.9,37,M,no
Boccia322,1,antonii,Boccia 322,Tatama,dunk,yes,1.6,47,M,no
Boccia322M,1,sericeus,Boccia 322M,Tuxtlas,dunk,no,2.1,45,F,no
Boccia323 dunk,1,chloris,Boccia 323,Tatama,dunk,yes,3.5,61,M,no
Boccia323 dunk 2,2,chloris,Boccia 323,Tatama,dunk,no,3.5,61,M,no
Boccia323M,1,sericeus,Boccia 323M,Tuxtlas,dunk,no,1,40,M,no
Boccia324M,1,sericeus,Boccia 324M,Tuxtlas,dunk,yes,1.7,42,F,no
Boccia325M,1,sericeus,Boccia 325M,Tuxtlas,dunk,no,1.8,45,F,no
Boccia326M,1,sericeus,Boccia 326M,Tuxtlas,dunk,yes,1.6,43,F,no
Boccia327M,1,sericeus,Boccia 327M,Tuxtlas,dunk,yes,0.4,26,J,no
Boccia328M,1,sericeus,Boccia 328M,Tuxtlas,dunk,yes,1.3,41,M,no
Boccia329M,1,sericeus,Boccia 327M,Tuxtlas,dunk,yes,0.4,26,J,no
Boccia331M,1,sericeus,Boccia 331M,Tuxtlas,dunk,yes,2.1,45,F,no
Boccia332M,1,sericeus,Boccia 332M,Tuxtlas,dunk,no,0.5,31,J,no
Boccia34,1,oxylophus,Boccia 34,La_Selva,voluntary,yes,5.2,67,M,sustained
Boccia34 2,1,oxylophus,Boccia 34,La_Selva,voluntary,no,5.2,67,M,incidental
Boccia34 3,1,oxylophus,Boccia 34,La_Selva,voluntary,no,5.2,67,M,sustained
Boccia96,1,oxylophus,Boccia 96,La_Selva,voluntary,no,6.6,67,M,no
holy dlm 1,1,reconditus,HOLY DLM 1,Jamaica,dunk,yes,1.4,40,F,no
HOLY DLM 2,1,reconditus,HOLY DLM 2,Jamaica,dunk,yes,2.7,51,M,incidental
HOLY DLM 2_2,2,reconditus,HOLY DLM 2,Jamaica,dunk,yes,2.7,51,M,incidental
Holy DLM 3,1,opalinus,HOLY DLM 3,Jamaica,dunk,yes,3.6,53,M,no
Holy DLM 3_2,2,opalinus,HOLY DLM 3,Jamaica,dunk,yes,3.6,53,M,no
HOLY EF2,1,opalinus,HOLY EF 2,Jamaica,dunk,yes,1.4,41,F,no
HOLY EF2_2,2,opalinus,HOLY EF 2,Jamaica,dunk,yes,1.4,41,F,no
HOLY EF2_3,3,opalinus,HOLY EF 2,Jamaica,dunk,yes,1.4,41,F,no
HOLY EF2_4,1,opalinus,HOLY EF 2,Jamaica,dunk,yes,1.4,41,F,no
HOLY EF4,1,reconditus,HOLY EF 4,Jamaica,dunk,yes,3,51,F,no
HOLY HM1,1,opalinus,HOLY HM 1,Jamaica,dunk,yes,4.1,55,M,no
Holy LOF 1,1,opalinus,HOLY LOF 1,Jamaica,dunk,yes,3.2,52,M,no
Holy LOF 1_2,2,opalinus,HOLY LOF 1,Jamaica,dunk,yes,3.2,52,M,no
Holy LOF 1_3,3,opalinus,HOLY LOF 1,Jamaica,dunk,yes,3.2,52,M,no
HOLY PO1,1,opalinus,HOLY PO 1,Jamaica,dunk,yes,2.7,51,M,no
LARE DLM 01,1,sagrei,LARE DLM 1,Jamaica,dunk,yes,3,50,M,no
LARE DLM 02,1,valencienni,LARE DLM 2,Jamaica,dunk,yes,5.4,66,M,no
LARE DLM 02_3,3,valencienni,LARE DLM 2,Jamaica,dunk,yes,5.4,66,M,no
LARE DLM 03,1,lineatopus,LARE DLM 3,Jamaica,dunk,yes,3.8,56,M,sustained
LARE DLM 04,1,lineatopus,LARE DLM 4,Jamaica,dunk,yes,1.1,36,F,no
LARE DLM 04_2,2,lineatopus,LARE DLM 4,Jamaica,dunk,yes,1.1,36,F,no
LARE DLM 05,1,garmani,LARE DLM 5,Jamaica,dunk,no,17.2,89,M,no
LARE DLM 05_2,2,garmani,LARE DLM 5,Jamaica,dunk,yes,17.2,89,M,no
LARE DLM 06,1,lineatopus,LARE DLM 6,Jamaica,dunk,yes,4.1,55,M,no
LARE DLM 07,1,lineatopus,LARE DLM 7,Jamaica,dunk,yes,4.7,57,M,incidental
LARE DLM 07_2,2,lineatopus,LARE DLM 7,Jamaica,dunk,yes,4.7,57,M,no
LARE DLM 07_3,3,lineatopus,LARE DLM 7,Jamaica,dunk,yes,4.7,57,M,no
LARE DLM 08,1,lineatopus,LARE DLM 8,Jamaica,dunk,yes,4.9,60,M,no
LARE DLM 09,1,valencienni,LARE DLM 9,Jamaica,dunk,yes,4.2,62,M,no
