"Species","Boccia.ID","Site","submersion.type","Submersion.naturally.terminated.","Mass","SVL","Sex","Rebreathing.type","Duration mean","num_all_rb mean","rb_full_rate mean","rb_full_int mean","first_rb mean","last_rb mean","rb_period mean","rate_adj_rb mean","low_rb mean","low_rb_rate mean","num_br mean","rate_br mean","num_gul mean","rate_gul mean","num_ch mean","rate_ch mean","dur_exh_tot mean","exh_pct mean","num_exh mean","exh_avg mean","soh mean","toh mean","hbn mean","lbn mean","num trials"
"maculigula","Boccia 239","Tatama","dunk","yes",31.9,NA,"M","sustained",55.835,4,0.168035998831603,NA,NA,NA,NA,NA,0,0,2.33333333333333,0.0600397181236939,3.33333333333333,0.045428837829179,0,NA,6.64933333333333,0.139149635746979,5.33333333333333,NA,0.666666666666667,3.33333333333333,0,0,3
"barkeri","Boccia 239M","Tuxtlas","dunk","yes",8.7,78,"M","sustained",109.071125,7.5,0.0658411623219206,NA,NA,NA,NA,NA,0.125,0.00149130865316933,8.375,0.0758867245554335,0.5,0.00525229283596402,0,0,34.967375,0.289926785811688,11.375,2.8810412200609,7.5,0,0,0.125,8
"chloris","Boccia 240","Tatama","dunk","yes",3.9,0,"M","no",19.102,0,0,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,1
"uniformis","Boccia 244M","Tuxtlas","dunk","yes",1.5,39,"M","sustained",82.315,2.5,0.0351138390662528,NA,NA,NA,NA,NA,0,0,1,0.0140455356265011,2.5,0.0317711600321762,0,0,8.462,0.118853322471452,3,NA,2.5,0,0,0,2
"barkeri","Boccia 245M","Tuxtlas","dunk","yes",11.6,84,"M","sustained",138.496,15.5,0.109567324435513,9.21126578947369,157.2025,204.7145,49.097,6.36607877870445,0.5,0.00308145518639723,12,0.0931033976424405,1,0.00616291037279445,0,0,43.8464999999999,0.366136751763788,23.5,1.89499456521739,15,0.5,0,0.5,2
"barkeri","Boccia 246M","Tuxtlas","dunk","yes",13.1,92,"M","sustained",245.5525,9,0.0408644850417867,NA,NA,NA,NA,NA,0,0,4.25,0.0195284238692873,3.5,0.0128984503351859,0,NA,22.25275,0.0968608432733286,11.5,NA,9,0,0,0,4
"uniformis","Boccia 247M","Tuxtlas","dunk","no",0.7,29,"M","no",34.66,0,0,NA,NA,NA,NA,NA,0,0,1,0.0288517022504328,0,0,0,0,32.343,0.933150605885747,2,16.1715,0,0,0,0,1
"uniformis","Boccia 249M","Tuxtlas","dunk","yes",1.6,28,"M","no",153.865,0,0,NA,NA,NA,NA,NA,0,0,0,0,1,0.00649920384752868,1,0.00649920384752868,0,0,0,NA,0,0,0,0,1
"barkeri","Boccia 250M","Tuxtlas","dunk","no",7.7,73,"M","sustained",190.1344,8.4,0.0657986276064143,NA,NA,NA,NA,NA,0.8,0.00618634827594206,3,0.0190660085334637,3.4,0.02486024560612,0,NA,53.7734000000001,0.268866605879681,11.6,NA,8.4,0,0,0.8,5
"uniformis","Boccia 252M","Tuxtlas","dunk","yes",1.1,34,"M","no",23.559,0,0,NA,NA,NA,NA,NA,0,0,0,0,0.5,0.0228634139649733,0.5,0.0198027644659194,0,0,0,NA,0,0,0,0,2
"barkeri","Boccia 253M","Tuxtlas","dunk","yes",9.3,74,"F","sustained",82.486375,2.625,0.0301013241440104,NA,NA,NA,NA,NA,0.125,0.000718998234140338,1.5,0.0137974459945747,3.125,0.032254170743481,0,NA,34.81825,0.253590502339413,3.75,NA,2.625,0,0,0.125,8
"barkeri","Boccia 255M","Tuxtlas","dunk","yes",14.1,93,"M","incidental",78.9979,2.2,0.0396270899139029,NA,134.0575,NA,NA,NA,0.6,0.00926282681091282,3.3,0.0371920846515043,1.8,0.0218334214302284,0,NA,39.1616,0.426033430074813,5.4,13.3569252747253,1.8,0,0.4,0.6,10
"barkeri","Boccia 256M","Tuxtlas","dunk","yes",11.5,83,"M","sustained",83.8718571428572,1.71428571428571,0.0161037180879516,NA,NA,NA,NA,NA,0,0,3.71428571428571,0.0444166893796897,0.285714285714286,0.00396431507231667,0,0,55.9097142857143,0.610629434577062,5.42857142857143,25.4254107142857,1.57142857142857,0,0.142857142857143,0,7
