"VideoID","ID","Start","End","Duration","num_all_rb","rb_full_rate","rb_full_int","first_rb","last_rb","rb_period","rate_adj_rb","low_rb","low_rb_rate","num_br","rate_br","num_gul","rate_gul","num_ch","rate_ch","coov","toov","hoov","dur_exh_tot","exh_pct","num_exh","exh_avg","soh","toh","hbn","lbn","dive.id","Species","Boccia.ID","Site","submersion.type","Submersion.naturally.terminated.","Mass","SVL","Sex","Rebreathing.type"
"Boccia227","Boccia 227",26.603,123.339,96.736,4,0.0413496526629176,2.61866666666667,42.295,50.151,7.856,0.509164969450102,0,0,4,0.0413496526629176,0,0,0,0,93.211,0,0,6.71299999999999,0.0693950545815415,7,0.958999999999999,0,4,0,0,1,"maculigula","Boccia 227","Tatama","dunk","yes",28.8,112,"M","incidental"
"Boccia227_2 2","Boccia 227",192.05,236.348,44.298,4,0.0902975303625446,9.783,233.238,231.983,1.255,3.18725099601595,6,0.135446295543817,1,0.0225743825906361,2,0.0451487651812723,0,0,0,0,0,2.98499999999993,0.0673845320330473,10,0.298499999999993,3,1,0,6,2,"maculigula","Boccia 227","Tatama","dunk","no",28.8,112,"M","incidental"
"Boccia227_2 3","Boccia 227",253.089,315.505,62.416,4,0.0640861317610869,6.741,256.756,276.979,20.223,0.197794590317955,0,0,16,0.256344527044348,0,0,0,0,0,0,0,3.86899999999991,0.0619873109459099,16,0.241812499999995,3,1,0,0,3,"maculigula","Boccia 227","Tatama","dunk","yes",28.8,112,"M","incidental"
"Boccia227_2","Boccia 227",75.242,171.486,96.244,1,0.0103902580940111,NA,88.597,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,11.999,0.124672706870039,1,11.999,0,1,0,0,1,"maculigula","Boccia 227","Tatama","dunk","no",28.8,112,"M","incidental"
"Boccia228","Boccia 228",0,83.52,83.52,2,0.0239463601532567,5.861,15.954,21.815,5.861,0.341238696468179,0,0,1,0.0119731800766284,9,0.107758620689655,0,0,0,0,0,7.479,0.0895474137931035,4,1.86975,0,2,0,0,1,"maculigula","Boccia 228","Tatama","dunk","yes",4,61,"F","incidental"
"Boccia228_2","Boccia 228",12.32,81.245,68.925,0,0,NA,NA,NA,NA,NA,2,0.0290170475154153,0,0,6,0.0870511425462459,0,0,46.574,0,0,3.668,0.0532172651432717,2,1.834,0,0,0,2,1,"maculigula","Boccia 228","Tatama","dunk","yes",4,61,"F","no"
"Boccia229 3","Boccia 229",130.595,199.756,69.161,3,0.0433770477581296,23.4525,148.347,195.252,46.905,0.0639590661976335,0,0,2,0.0289180318387531,1,0.0144590159193765,1,0.0144590159193765,0,0,0,29.713,0.429620740012435,5,5.9426,0,3,0,0,3,"maculigula","Boccia 229","Tatama","dunk","no",7.5,72,"F","incidental"
"Boccia229 4","Boccia 229",216.09,284.208,68.118,2,0.0293608150562259,53.502,281.454,227.952,53.502,0.0373817801203693,1,0.014680407528113,3,0.0440412225843389,2,0.0293608150562259,2,0.0293608150562259,0,0,0,2.0619999999999,0.0302710003229675,6,0.34366666666665,1,1,0,1,4,"maculigula","Boccia 229","Tatama","dunk","yes",7.5,72,"F","incidental"
"Boccia229 hide + dunk 2","Boccia 229",97.955,125.471,27.516,0,0,NA,NA,NA,NA,NA,0,0,1,0.0363424916412269,0,0,0,0,0,0,0,0.207999999999998,0.00755923826137514,1,0.207999999999998,0,0,0,0,1,"maculigula","Boccia 229","Tatama","dunk","no",7.5,72,"F","no"
"Boccia229 hide+ dunk","Boccia 229",60.65,96.7,36.05,3,0.0832177531206657,3.357,67.515,74.229,6.714,0.446827524575514,0,0,5,0.13869625520111,1,0.0277392510402219,0,0,0,0,0,17.902,0.496588072122052,7,2.55742857142857,3,0,0,0,1,"maculigula","Boccia 229","Tatama","dunk","no",7.5,72,"F","incidental"
