"","plot","species","duration","reads","r2_lin","r2_cur","f_read","f_read_fit","w_temp","lin_aic","quad_aic","exp_aic","asym_aic","lin_lik","quad_lik","exp_lik","asym_lik","lin_int","lin_slope","quad_int","quad_x","quad_x2","quad_dir","exp_int","exp_cur","asym_int","asym_cur","asym_asym","p_lin","p_exp"
"21","./trace trials/MX/Boccia259M.1","barkeri","194","12","0.536363717142234","0.547211239697333","94.302","82.3510770417827","23.5","116.027406501418","120.457596202608","116.237425635628","NULL","-53.5137032507088","-53.3716552441613","-53.618712817814","NULL","223.988754422918","-0.730091120521317","213.086376363951","-0.230012380910426","-0.00419106502602682","down","227.253047900478","0.00398880317682341","NULL","NULL","NULL","0.00675665007035738","0.00876762271291641"
"22","./trace trials/MX/Boccia259M.2","barkeri","188","36","0.536632700738102","0.560853533824294","160.23","156.84806001543","23.49","278.921199979283","279.528788790074","278.20806896754","279.825921757914","-136.085599989642","-135.119233104715","-135.72903448377","-135.267799588635","208.498733574551","-0.274737625314473","219.459560949968","-0.509258474055592","0.00103125062840134","up","211.459409357138","0.0015725222910888","218.328990794675","0.00583700598827328","129.682925343248","3.79328211563373e-07","1.12459043524678e-07"
"23","./trace trials/MX/Boccia256M.1","barkeri","218","8","0.555337276349765","0.884246958842329","123.419","123.604402016339","23.61","72.4759359652165","71.0424124642039","72.8938416270415","NULL","-30.2379679826083","-24.8545395654353","-30.4469208135207","NULL","193.928208447766","-0.322586268034069","96.4462955219643","1.65650019570981","-0.00875329405126879","down","196.189384310351","0.00195820588707049","NULL","NULL","NULL","0.0338520513754614","0.0493479744230127"
"24","./trace trials/MX/Boccia261M.1","barkeri","246","9","0.927737046840605","0.930215324901207","81.736","35.7780437297239","23.64","79.0560409235812","85.9419664637616","81.0849267137574","NULL","-34.1280204617906","-33.9709832318808","-35.1424633568787","NULL","187.43680399713","-0.616499025477262","182.255547362384","-0.443411901511572","-0.000862252855586573","down","195.867746232655","0.00486589360081591","NULL","NULL","NULL","3.03897952164848e-05","0.000174481174965252"
"25","./trace trials/MX/Boccia263M.1","barkeri","213","23","0.939347306524248","0.942197209417996","102.822","96.6781078390071","25.39","136.715792315936","138.567935871624","135.643415925353","NULL","-64.7263172105995","-64.1728568247008","-64.190129015308","NULL","162.993755877585","-0.311341070603651","165.98113965275","-0.380234114026381","0.000309796479080631","up","166.794289696786","0.002427486795131","NULL","NULL","NULL","2.93740269955878e-14","1.2199688810156e-14"
"26","./trace trials/MX/Boccia263M.2","barkeri","170","5","0.593220524889921","0.802227857196753","118.048","111.798062469338","25.43","60.5695308167884","Inf","60.6242060961628","NULL","-15.2847654083942","-13.4818763226356","-15.3121030480814","NULL","159.552633197056","-0.280909239574816","-224.75077856286","6.65928555766332","-0.0296211729210993","down","163.679114107928","0.00220278448165159","NULL","NULL","NULL","0.127575976525061","0.141167032129916"
"27","./trace trials/MX/Boccia268M.1","barkeri","305","15","0.865498673509313","0.867490541923108","93.778","73.8040903643906","25.54","105.617358515896","109.211739782282","106.575857070995","NULL","-48.7177701670392","-48.6058698911409","-49.1970194445884","NULL","166.677042698314","-0.304501483062044","164.601998454687","-0.235950314640267","-0.000270584212028235","down","169.384866811264","0.00236098989824621","NULL","NULL","NULL","5.01546489109487e-07","6.1996653323248e-06"
"28","./trace trials/MX/Boccia268M.2","barkeri","199","11","0.437264398882651","0.469310434051655","131.409","96.2388808923482","25.53","92.4453486610254","97.0384845940225","92.3164255532927","94.718688723386","-41.508388616227","-41.1859089636779","-41.4439270623607","-40.0260110283596","163.534880179785","-0.338170850690638","167.98745438286","-0.674619874868887","0.00375366304759101","up","164.191728396231","0.00231523201139381","201.43846039832","0.120005268006338","142.962489145663","0.0267166259223246","0.0268081946018215"
"29","./trace trials/MX/Boccia269M.1","barkeri","350","39","0.90269718758486","0.907364212339784","76.304","68.0515546032678","25.62","275.954502616774","276.52831724795","282.486194544035","NULL","-134.63439416553","-133.675923329857","-137.90024012916","NULL","153.550488682664","-0.244282668798274","150.43643876487","-0.175957155165929","-0.000217811529438508","down","156.138839385221","0.00209036034618413","NULL","NULL","NULL","2.60772170278957e-20","2.28966412043896e-19"
"30","./trace trials/MX/Boccia270M.1","barkeri","189","20","0.928645092465191","0.936105211307457","95.099","87.9526431489324","25.77","137.046937133828","138.005037425421","134.81355495662","137.979982609253","-64.7734685669138","-63.6691853793772","-63.6567774783099","-63.656657971293","167.590969426587","-0.421366805701877","171.193785560482","-0.551334244675673","0.000705106765283096","up","171.345044810744","0.0032947588033305","171.379493753122","0.00332778765127711","1.28503686334442","9.19412344065167e-12","1.48639792825376e-11"
